Modelo,Escenario,RMSE_CV,RMSE_test,MAE_test,R2_test,Mejores_params
RandomForest,A (con G1/G2),1.4336764967446243,2.099669992259872,1.1704488790361116,0.8006254626020344,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}"
LinearRegression,A (con G1/G2),1.8584335860670596,2.4446508912923846,1.62034620318602,0.7297278437130302,{}
KNN,A (con G1/G2),3.2294004308299717,3.258748694706439,2.473658907469557,0.5197478141939688,"{'model__n_neighbors': 11, 'model__weights': 'distance'}"
RandomForest,B (sin G1/G2),3.7307740890938015,3.9996235033051506,3.1039366378693036,0.27655447709301706,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 200}"
LinearRegression,B (sin G1/G2),4.331194550932919,4.2722368748242685,3.3675543240600883,0.17457378407379465,{}
KNN,B (sin G1/G2),4.228248197431727,4.426040098161125,3.5587357372064807,0.11407226493758482,"{'model__n_neighbors': 11, 'model__weights': 'distance'}"
